P,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
LINK MATERIAL ORGÁNICOS ,SEMANA 3,15 septiembre,SEMANA 4,24 septiembre,SEMANA 5,29 septiembre,14 abril
FECHA,,,,,,,
HORARIO,,14:00,,16:00,,12:00,12:00
TIPO,,REEL,,REEL,,REEL,REEL
DISEÑO,,,,"REEL ORGÁNICO - ""NO ME PASA NADA""

VISUAL
Vemos al colaborador en pantalla como si estuviese hablando a cámara. Posteriormente una vez dicho el diálogo, cambiamos a un plano general y vemos que el colaborador está hablando solo.

 TEXTO EN PANTALLA:
""Te lo juro, puedo tomarme 5 cafés y no me pasa nada""
",,"REEL ORGÁNICO - ""NO PODEMOS LLENAR SU TERMO""

Visual 1:
Vemos al trabajador en un plano general haciendo mímica con su boca.

DIÁLOGO/TEXTO EN PANTALLA:
 ""lo siento, no le podemos llenar su termo con café""

Visual 2:
Tras un paneo, vemos al cliente con un ""termo"" exageradamente grande, quien se enoja y se va del local indignado.","REEL ORGÁNICO  BARISTA EXPERIENCE

Visual
Preparación de café. Incluir logo QB


Texto 1 
Todo empieza en un momento simple…

Texto 2
como el primer café del día."
LINKS,,,,REF,,REF,REFE
MATERIAL EDITADO,,,,,,,
COPY,,,,"Cuando dices que el café no te afecta y a los 10 minutos estás hablando con las paredes. 😂☕️

Pero bueno… otro cafecito nunca está de más. 🤎

 📍 Ven a tomar uno en Av. Vitacura 2727

#BetweenCoffeBar #CaféSantiago #Humor",,"Perdón, pero tampoco hacemos magia… aunque ganas de llenarte ese termo no nos faltan. 😂☕️

La próxima, uno de tamaño humano, porfa. 👀

📍 Av. Vitacura 2727

#BetweenCoffeBar #CafeSantiago #Humor","Desde el primer aroma hasta el primer sorbo, todo se siente distinto cuando te detienes a disfrutarlo.

Disfruta tu café en Between, Av. Vitacura 2727, Las Condes  ☕

#BetweenCoffee #CaféSantiago #LasCondes #CoffeeLoversChile #PanoramasSantiago"
COMENTARIOS CLIENTE,,,,Cambiémos este para QB para variarr,,Que quede para principios de sept,
COMENTARIOS DISEÑO ,,,,,,,
ESTADO,,RECHAZADO ,,POR GRABAR,,PENDIENTE POR CLIENTE,EN REVISIÓN
