								,,,,,,,,
,,PLANIFICACIÓN MENSUAL SEPTIEMBRE 2026,,,,,,
,,"S1 
(SEMANA DEL 31 AL 6 SEPT)",,,,,,
,,LUNES 31,MARTES 1,MIÉRCOLES 2,JUEVES 3,VIERNES 4,SÁBADO 5,DOMINGO 6
,POST,NO VA POST,NO VA POST,NO VA POST,NO VA POST,NO VA POST,NO VA POST,NO VA POST
,,,,,,,,
,,,,ESTÁTICO,,,,
,ST,,,"ST 
""SEGÚN MIS CÁLCULOS TE HACE FALTA CAFÉ"" ",,,,
,,"S2
(SEMANA DEL 7 AL 13 SEPT)",,,,,,
,,LUNES 7,MARTES 8,MIÉRCOLES 9,JUEVES 10,VIERNES 11,SÁBADO 12,DOMINGO 13
,POST,CARRUSEL,NO VA POST,NO VA POST,CARRUSEL,ESTÁTICO,NO VA POST,NO VA POST
,,"CARRUSEL 
""TU OFICINA POR HOY PUEDE SER BETWEEN""",,,"CARRUSEL 
""¿ESTÁS DE CUMPLEAÑOS?
ESTE CAFÉ ES PARA TI""","POST 
""PERDÓN, ESA PREOCUPACIÓN NO CABE EN MI CAFECITO DE BETWEEN""",,
,ST,SIN ST,SIN ST,SIN ST,ANIMADA,ESTÁTICA,SIN ST,SIN ST
,,,,,"ST 
CAFÉ BOMBÓN","ST
""UN DULCE COMIENZO PARA TU MAÑANA""

+ 

ROMPE EL VIDRIO ",,
,,"S3
(SEMANA DEL 14 AL 20 SEPT)",,,,,,
,,LUNES 14,MARTES 15,MIÉRCOLES 16,JUEVES 17,VIERNES 18,SÁBADO 19,DOMINGO 20
,POST,CARRUSEL,REEL,ESTÁTICO,NO VA POST,NO VA POST,NO VA POST,NO VA POST
,,"CARRUSEL
""QUE RICO SE VE, LE VOY A SACAR UNA FOTO""","REEL ORGÁNICO - ""NO PODEMOS LLENAR SU TERMO""","POST
""ELLA HABLÓ, ELLA ESCUCHÓ""",,,,
,ST,ANIMADA,ESTÁTICA,ESTÁTICA,SIN ST,ESTÁTICA,SIN ST,SIN ST
,,"ST 
""UN BUEN CAFÉ COMIENZA ANTES DEL PRIMER SORBO"" ","ST
""EL MEJOR MOMENTO PARA UN CAFÉ""","ST
COWORK",,"ST
SALUDOS FIESTAS PATRIAS ",,
,,"S4
(SEMANA DEL 21 AL 27 SEPT)",,,,,,
,,LUNES 21,MARTES 22,MIÉRCOLES 23,JUEVES 14,VIERNES 25,SÁBADO 26,DOMINGO 27
,POST,NO VA POST,CARRUSEL,NO VA POST,REEL,NO VA POST,NO VA POST,NO VA POST
,,,"CARRUSEL
PROMO TO GO ",,"REEL ORGÁNICO - ""NO ME PASA NADA""",,,
,ST,ESTÁTICA,ESTÁTICA,SIN ST,SIN ST,SIN ST,SIN ST,SIN ST
,,"ST 
STRUDEL DE MANZANA ","ST 
OMIENZO PRIMAVERA ",,,,,
,,"S5
(SEMANA DEL  28 al 30 SEPT)",,,,,,
,,LUNES 28,MARTES 29,MIÉRCOLES 30,JUEVES 1,VIERNES 2,SÁBADO 3,DOMINGO 4
,POST,NO VA POST,REEL,NO VA POST,,,,
,,,REEL ORGÁNICO - La razón por la que naciste con dos manos ,,,,,
,ST,ESTÁTICA,SIN ST,ESTÁTICA,,,,
,,"ST 
HUMOR TO GO ",,"ST 
PLATEADA AL MARMENERE",,,,
